1401,"Сырым батыра, 10",Нур-Ай,,,,,,,,1,741
1312,"Куаныш Толеметова, 1/1",Мустафа ата,,,,,,,,0,304738
1559,"Куаныш Толеметова, 69/10, 1 этаж",Продуктовый магазин,,,,,,,,0,179242
650,"Куаныш Толеметова, 69/10",Береке ет,,,,,,,,0,59175
2110,"Куаныш Толеметова, 69/24",Фатима 2,,,,,,,,0,854802
1885,"Куаныш Толеметова, 69/37, 0 этаж",Рахия,,,,,,,,0,772456
1242,"Куаныш Толеметова, 69/41, 1 этаж",Маркет №1,,,,,,,,0,575587
604,"Турсынкул Утегенова, 1621, 1 этаж",БЕЛЕС,,,,,,,,0,879467
2152,"Турсынкул Утегенова, 1595",Шакам ата,,,,,,,,0,877823
1996,"Турсынкул Утегенова, 8134",Сейітбек,,,,,,,,0,720248
1443,"Турсынкул Утегенова, 603/4, 1 этаж",Олжа,,,,,,,,0,275424
1762,"Аргынбекова, 7/1а",Продуктовый магазин,,,,,,,,0,19841
1412,"Сарыозек, 603/4, 1 этаж",Нурбек,,,,,,,,0,
1713,"Сарыозек, 603/4",Продуктовый магазин,,,,,,,,0,165031
2089,"Анар-Аже, 6836/2",Улбосын,,,,,,,,0,300666
132,"Турсынкул Утегенова, 7/5, 1 этаж",А? Бастау,,,,,,,,0,16761
2192,"Турсынкул Утегенова, 7/4, 1 этаж",Шымыр Ата,,,,,,,,0,93169
1985,"Турсынкул Утегенова, 7/10",Сая,,,,,,,,0,481733
53,"Отарбаева, 665/1",700,,,,,,,,0,262073
2146,"Атасу, 7",Ш??ЫЛА,,,,,,,,0,324728
830,"Атасу, 7/1, 1 этаж",Дио,,,,,,,,0,352696
2111,"Атасу, 35",Фатима апа,,,,,,,,0,258166
2109,"Атасу, 7/2, 1 этаж",Фатима,,,,,,,,0,225349
1378,"Егемен ел, 33/2",НЕСIБЕ,,,,,,,,0,140448
1598,"Озекти, 16/1, 1 этаж",Продуктовый магазин,,,,,,,,0,20716
1304,"Озекти, 52",Молдос,,,,,,,,0,240928
1451,"Аргынбекова, 1/7",ОЛЖАС,,,,,,,,0,236097
1158,"Атаконыс, 1/8",Магазин,,,,,,,,0,
1491,"Атаконыс, 1/8",Продовольственный магазин,,,,,,,,0,841613
45,"Аргынбекова, 1/5",?удайберген-Ата,,,,,,,,0,112689
1254,"Казына, 1/1",МЕЙІРБЕК,,,,,,,,0,484388
812,"Дулатова, 98",Динар,,,,,,,,0,240651
980,"Сыпырган ата, 128",Зияд,,,,,,,,0,114549
1209,"Сыпырган ата, 122/1",Мадинабану,,,,,,,,0,791366
1123,"Азербаева, 35/1",Магазин,,,,,,,,0,430983
1715,"Уржар, 8/1",Продуктовый магазин,,,,,,,,0,797778
1586,"Амангельды, 45/1",Продуктовый магазин,,,,,,,,0,199976
1530,"Жангельдина, 45",Продуктовый магазин,,,,,,,,0,197791
1750,"Юсупова, 40",Продуктовый магазин,,,,,,,,0,163225
261,"Каскабаева, 20",Айзере,,,,,,,,0,114284
192,"Айтымбет улы, 22",Адил,,,,,,,,0,169376
